t_ms,theta_deg,theta_dot,x_cm,x_dot_cm,u
210543,0.0,0.0,0.0,0.0,0.0
210553,0.0,0.0,0.0,0.0,0.0
210563,0.0,0.0,0.0,0.0,0.0
210573,0.0,0.0,0.0,0.0,0.0
210582,0.0,0.0,0.0,0.0,0.0
210593,0.0,0.0,0.0,0.0,0.0
210602,0.0,0.0,0.0,0.0,0.0
210613,0.0,0.0,0.0,0.0,0.0
210623,0.0,0.0,0.0,0.0,0.0
210633,0.0,0.0,0.0,0.0,0.0
210643,0.0,0.0,0.0,0.0,0.0
210653,0.0,0.0,0.0,0.0,0.0
210663,0.0,0.0,0.0,0.0,0.0
210673,0.0,0.0,0.0,0.0,0.0
210682,0.0,0.0,0.0,0.0,0.0
210693,0.0,0.0,0.0,0.0,0.0
210702,0.0,0.0,0.0,0.0,0.0
210713,0.0,0.0,0.0,0.0,0.0
210723,0.0,0.0,0.0,0.0,0.0
210733,0.0,0.0,0.0,0.0,0.0
210743,0.0,0.0,0.0,0.0,0.0
210753,0.0,0.0,0.0,0.0,0.0
210763,0.0,0.0,0.0,0.0,0.0
210773,0.0,0.0,0.0,0.0,0.0
210782,0.0,0.0,0.0,0.0,0.0
210793,0.0,0.0,0.0,0.0,0.0
210802,0.0,0.0,0.0,0.0,0.0
210813,0.0,0.0,0.0,0.0,0.0
210823,0.0,0.0,0.0,0.0,0.0
210833,0.0,0.0,0.0,0.0,0.0
210843,0.0,0.0,0.0,0.0,0.0
210853,0.0,0.0,0.0,0.0,0.0
210863,0.0,0.0,0.0,0.0,0.0
210873,0.0,0.0,0.0,0.0,0.0
210882,0.0,0.0,0.0,0.0,0.0
210893,0.0,0.0,0.0,0.0,0.0
210902,0.0,0.0,0.0,0.0,0.0
210913,0.0,0.0,0.0,0.0,0.0
210923,0.0,0.0,0.0,0.0,0.0
210933,0.0,0.0,0.0,0.0,0.0
210943,0.0,0.0,0.0,0.0,0.0
210953,0.0,0.0,0.0,0.0,0.0
210963,0.0,0.0,0.0,0.0,0.0
210973,0.0,0.0,0.0,0.0,0.0
210982,0.0,0.0,0.0,0.0,0.0
210993,0.0,0.0,0.0,0.0,0.0
211002,0.0,0.0,0.0,0.0,0.0
211013,0.0,0.0,0.0,0.0,0.0
211023,0.0,0.0,0.0,0.0,0.0
211033,0.0,0.0,0.0,0.0,0.0
211043,0.0,0.0,0.0,0.0,0.0
211053,0.0,0.0,0.0,0.0,0.0
211063,0.0,0.0,0.0,0.0,0.0
211073,0.0,0.0,0.0,0.0,0.0
211082,0.0,0.0,0.0,0.0,0.0
211093,0.0,0.0,0.0,0.0,0.0
211102,0.0,0.0,0.0,0.0,0.0
211113,0.0,0.0,0.0,0.0,0.0
211123,0.0,0.0,0.0,0.0,0.0
