t_ms,theta_deg,theta_dot,x_cm,x_dot_cm,u,yref
7531,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
7541,0.0,0.0,0.0,0.0,0.0,0.05494499206542969
7551,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7561,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7571,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7580,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
7590,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7600,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
7611,0.0,0.0,0.0,0.0,0.0,0.047618865966796875
7621,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
7631,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
7641,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7651,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7661,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
7671,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7680,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
7690,0.0,0.0,0.0,0.0,0.0,0.07692337036132812
7700,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7711,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
7721,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
7731,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7741,0.0,0.0,0.0,0.0,0.0,0.047618865966796875
7751,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7761,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7771,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
7780,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7790,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7800,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
7811,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7821,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
7831,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7841,0.0,0.0,0.0,0.0,0.0,0.07692337036132812
7851,0.0,0.0,0.0,0.0,0.0,0.07692337036132812
7861,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7871,0.0,0.0,0.0,0.0,0.0,0.07692337036132812
7880,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7890,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7900,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
7911,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7921,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
7931,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
7952,0.0,0.0,-0.006879188120365143,-0.34395939111709595,0.0,0.047618865966796875
7964,0.0,0.0,-0.048154316842556,-2.235736131668091,-0.08930229395627975,0.0622711181640625
7976,0.0,0.0,-0.11006700992584229,-4.213502883911133,-0.5801891684532166,0.0622711181640625
7987,0.14999999105930328,7.5,-0.17885887622833252,-5.546345233917236,-1.091884970664978,0.047618865966796875
7999,0.45000001788139343,18.750003814697266,-0.2682883143424988,-7.244645118713379,-12.0,0.0622711181640625
8011,0.5999999642372131,16.875,-0.3714761435985565,-8.781713485717773,-12.0,0.06959724426269531
8012,0.5999999642372131,8.4375,-0.37835532426834106,-4.734816074371338,-12.0,0.06959724426269531
8013,0.5999999642372131,4.21875,-0.385234534740448,-2.711367607116699,-12.0,0.047618865966796875
8021,0.75,9.609375953674316,-0.47466397285461426,-5.827155590057373,-12.0,0.0622711181640625
8031,1.1999999284744263,27.3046875,-0.6328852772712708,-10.824644088745117,-12.0,0.0622711181640625
8041,1.6499998569488525,36.152339935302734,-0.8323817253112793,-15.38714599609375,-12.0,0.0622711181640625
8051,2.0999999046325684,40.576168060302734,-1.0731532573699951,-19.73215103149414,-12.0,0.06959724426269531
8061,2.6999998092651367,50.2880859375,-1.3483208417892456,-23.624452590942383,-12.0,0.06959724426269531
8071,3.450000286102295,62.64405059814453,-1.6578842401504517,-27.29039192199707,-12.0,0.047618865966796875
8080,4.049999713897705,61.322017669677734,-1.9536893367767334,-28.435457229614258,-12.0,-0.04761981964111328
8091,4.799999713897705,68.1610107421875,-2.3458030223846436,-33.82341003417969,-12.0,0.07692337036132812
8100,5.549999713897705,71.58050537109375,-2.6897623538970947,-34.109676361083984,-12.0,0.0622711181640625
8111,6.300000190734863,73.29025268554688,-3.1231513023376465,-38.72428512573242,-12.0,0.0622711181640625
8121,7.049999713897705,74.14513397216797,-3.5290234088897705,-39.65574645996094,-12.0,0.07692337036132812
8131,7.800000190734863,74.57256317138672,-3.9486539363861084,-40.80939865112305,-12.0,0.04029273986816406
8141,8.550000190734863,74.7862777709961,-4.382042407989502,-42.07413864135742,-12.0,0.07692337036132812
8151,9.300000190734863,74.89315032958984,-4.822310924530029,-43.050479888916016,-12.0,0.0622711181640625
8161,10.050000190734863,74.94657135009766,-5.26257848739624,-43.538631439208984,-12.0,0.0622711181640625
8171,10.649999618530273,67.4732666015625,-5.716605186462402,-44.470638275146484,-12.0,0.0622711181640625
8180,11.25,63.736663818359375,-6.1224775314331055,-42.528934478759766,-12.0,0.06959724426269531
8190,12.0,69.36833190917969,-6.583383083343506,-44.30974578857422,-12.0,0.06959724426269531
8200,12.449999809265137,57.18413162231445,-7.044288635253906,-45.20014953613281,-12.0,0.06959724426269531
8211,13.19999885559082,66.0920639038086,-7.560227870941162,-48.39704132080078,-12.0,0.047618865966796875
8221,13.649999618530273,55.546043395996094,-8.0280122756958,-47.5877571105957,-12.0,0.06959724426269531
8231,14.09999942779541,50.27302932739258,-8.502676010131836,-47.527069091796875,-12.0,0.07692337036132812
8241,14.699999809265137,55.136497497558594,-8.977339744567871,-47.49672317504883,-12.0,0.06959724426269531
