t_ms,theta_deg,theta_dot,x_cm,x_dot_cm,u
46102,6.750000476837158,58.056339263916016,-3.2676141262054443,-30.083158493041992,0.0
46113,7.349999904632568,59.02815246582031,-3.618452787399292,-32.58350372314453,0.0
46123,7.800000190734863,52.01408767700195,-3.9486539363861084,-32.80181121826172,0.0
46133,8.399999618530273,56.00702667236328,-4.278854846954346,-32.91096496582031,0.0
46143,8.850000381469727,50.50352478027344,-4.6159348487854,-33.309478759765625,0.0
46153,9.300000190734863,47.751773834228516,-4.953015327453613,-33.50875473022461,0.0
46163,9.75,46.375892639160156,-5.2969746589660645,-33.95235061645508,0.0
46173,10.19999885559082,45.68791580200195,-5.640933990478516,-34.17414474487305,0.0
46182,10.500000953674316,37.843990325927734,-5.950497627258301,-32.565242767333984,0.0
46193,10.949999809265137,41.42196273803711,-6.328853130340576,-35.20041275024414,0.0
46202,11.09999942779541,28.21099853515625,-6.638416767120361,-33.07837677001953,0.0
46213,11.399999618530273,29.105491638183594,-7.023651123046875,-35.8009147644043,0.0
46223,11.699999809265137,29.552738189697266,-7.367609977722168,-35.098411560058594,0.0
46233,11.850000381469727,22.27638816833496,-7.718449115753174,-35.091148376464844,0.0
46243,12.0,18.63821029663086,-8.062408447265625,-34.743526458740234,0.0
46253,12.149999618530273,16.81907844543457,-8.413247108459473,-34.9137077331543,0.0
46263,12.0,0.9095652103424072,-8.764084815979004,-34.99876403808594,0.0
46273,12.149999618530273,7.9547576904296875,-9.114924430847168,-35.041324615478516,0.0
46282,12.0,-3.5225956439971924,-9.424487113952637,-32.998836517333984,0.0
46293,12.0,-1.7612978219985962,-9.809721946716309,-35.76114273071289,0.0
46302,11.850000381469727,-8.38066577911377,-10.126164436340332,-33.70269775390625,0.0
46313,11.550000190734863,-19.190324783325195,-10.511399269104004,-36.113075256347656,0.0
46323,11.399999618530273,-17.09518051147461,-10.862237930297852,-35.598480224609375,0.0
46333,11.09999942779541,-23.547582626342773,-11.219955444335938,-35.68510437011719,0.0
46343,10.799999237060547,-26.77378273010254,-11.570794105529785,-35.384498596191406,0.0
46353,10.649999618530273,-20.88690948486328,-11.921632766723633,-35.23415756225586,0.0
46363,10.19999885559082,-32.94346237182617,-12.279350280761719,-35.50297927856445,0.0
46373,9.75,-38.97169876098633,-12.63018798828125,-35.29339599609375,0.0
46382,9.449999809265137,-34.48588562011719,-12.953511238098145,-33.81282043457031,0.0
46393,8.850000381469727,-47.24292755126953,-13.3387451171875,-36.16809844970703,0.0
46402,8.25,-53.62144470214844,-13.65518856048584,-33.90625,0.0
46413,7.800000190734863,-49.31072998046875,-14.04730224609375,-36.558807373046875,0.0
46423,7.200000286102295,-54.65534973144531,-14.398139953613281,-35.82127380371094,0.0
46433,6.59999942779541,-57.32770538330078,-14.748978614807129,-35.452579498291016,0.0
46443,6.0,-58.66383743286133,-15.099817276000977,-35.26823425292969,0.0
46453,5.399999618530273,-59.33192443847656,-15.45065689086914,-35.176063537597656,0.0
46463,4.650000095367432,-67.16596221923828,-15.773977279663086,-33.75407791137695,0.0
46473,3.75,-78.5829849243164,-16.03538703918457,-29.947519302368164,0.0
46482,2.8499999046325684,-84.29150390625,-16.228004455566406,-24.604602813720703,0.0
46493,1.6499998569488525,-102.14574432373047,-16.427499771118164,-22.27713966369629,0.0
46502,0.5999999642372131,-103.5728759765625,-16.571964263916016,-18.361759185791016,0.0
46513,359.3999938964844,-111.78642272949219,-16.716426849365234,-16.403993606567383,0.0
46523,358.04998779296875,-123.39324188232422,-16.833372116088867,-14.049286842346191,0.0
46533,356.6999816894531,-129.1966552734375,-16.936559677124023,-12.184021949768066,0.0
46543,355.5,-124.5974349975586,-17.039749145507812,-11.251462936401367,0.0
46553,354.29998779296875,-122.29920196533203,-17.122299194335938,-9.753204345703125,0.0
46563,352.9499816894531,-128.64962768554688,-17.204849243164062,-9.004148483276367,0.0
46573,351.75,-124.32528686523438,-17.280521392822266,-8.285628318786621,0.0
46582,350.70001220703125,-114.6622085571289,-17.34243392944336,-7.238455772399902,0.0
46593,349.3500061035156,-124.83113861083984,-17.411224365234375,-7.058788776397705,0.0
46602,348.3000183105469,-114.91513061523438,-17.459379196166992,-5.937124252319336,0.0
46613,347.0999755859375,-117.45806121826172,-17.521291732788086,-6.06420373916626,0.0
46623,346.0500183105469,-111.22859191894531,-17.569446563720703,-5.439831256866455,0.0
46633,344.8499755859375,-115.61477661132812,-17.610721588134766,-4.783651828765869,0.0
46643,343.9499816894531,-102.80741119384766,-17.651996612548828,-4.455562114715576,0.0
46653,343.0500183105469,-96.40372467041016,-17.686391830444336,-3.947598457336426,0.0
46663,342.0,-100.70142364501953,-17.713909149169922,-3.349623441696167,0.0
46673,341.25,-87.85118865966797,-17.741424560546875,-3.050636053085327,0.0
46682,340.5,-81.42469787597656,-17.755184173583984,-2.2132298946380615,0.0
46693,339.75,-78.21281433105469,-17.775821685791016,-2.1385204792022705,0.0
46702,339.1500244140625,-69.10596466064453,-17.782699584960938,-1.4131790399551392,0.0
46713,338.54998779296875,-64.55390930175781,-17.789579391479492,-1.050582766532898,0.0
46723,337.95001220703125,-62.276512145996094,-17.789579391479492,-0.525291383266449,0.0
46733,337.5,-53.638267517089844,-17.789579391479492,-0.2626456916332245,0.0
46743,337.1999816894531,-41.8195915222168,-17.789579391479492,-0.13132284581661224,0.0
46753,336.8999938964844,-35.90889358520508,-17.789579391479492,-0.06566142290830612,0.0
46763,336.6000061035156,-32.95491027832031,-17.782699584960938,0.3111625909805298,0.0
46773,336.6000061035156,-16.477455139160156,-17.782699584960938,0.1555812954902649,0.0
46782,336.45001220703125,-15.738276481628418,-17.782699584960938,0.07779064774513245,0.0
46793,336.6000061035156,-0.36959007382392883,-17.782699584960938,0.03889532387256622,0.0
46802,336.7499694824219,7.314752578735352,-17.782699584960938,0.01944766193628311,0.0
46813,336.8999938964844,11.158289909362793,-17.782699584960938,0.009723830968141556,0.0
46823,337.1999816894531,20.57823944091797,-17.782699584960938,0.004861915484070778,0.0
46833,337.6500244140625,32.789127349853516,-17.782699584960938,0.002430957742035389,0.0
46843,338.1000061035156,38.89457321166992,-17.782699584960938,0.0012154788710176945,0.0
46853,338.70001220703125,49.44820785522461,-17.782699584960938,0.0006077394355088472,0.0
46863,339.29998779296875,54.72365951538086,-17.782699584960938,0.0003038697177544236,0.0
46873,340.04998779296875,64.8623046875,-17.782699584960938,0.0001519348588772118,0.0
46882,340.79998779296875,69.93025970458984,-17.782699584960938,7.59674294386059e-05,0.0
46893,341.6999816894531,79.96514892578125,-17.782699584960938,3.798371471930295e-05,0.0
46902,342.5999755859375,84.98258972167969,-17.782699584960938,1.8991857359651476e-05,0.0
46913,343.6500244140625,94.99222564697266,-17.782699584960938,9.495928679825738e-06,0.0
46923,344.5500183105469,92.49613189697266,-17.782699584960938,4.747964339912869e-06,0.0
46933,345.75,106.24718475341797,-17.782699584960938,2.3739821699564345e-06,0.0
46943,346.95001220703125,113.12406921386719,-17.782699584960938,1.1869910849782173e-06,0.0
46953,347.9999694824219,109.06159210205078,-17.782699584960938,5.934955424891086e-07,0.0
46963,349.3500061035156,122.03081512451172,-17.782699584960938,2.967477712445543e-07,0.0
46973,350.70001220703125,128.5154571533203,-17.782699584960938,1.4837388562227716e-07,0.0
46982,351.75,116.75728607177734,-17.782699584960938,7.418694281113858e-08,0.0
46993,353.25,133.37957763671875,-17.782699584960938,3.709347140556929e-08,0.0
47002,354.6000061035156,134.1898193359375,-17.782699584960938,1.8546735702784645e-08,0.0
47013,356.1000061035156,142.09449768066406,-17.782699584960938,9.273367851392322e-09,0.0
47023,357.4499816894531,138.54727172851562,-17.782699584960938,4.636683925696161e-09,0.0
47033,358.8000183105469,136.77366638183594,-17.782699584960938,2.3183419628480806e-09,0.0
47043,0.29999998211860657,143.3872833251953,-17.782699584960938,1.1591709814240403e-09,0.0
47053,1.6499998569488525,139.1936492919922,-17.782699584960938,5.795854907120201e-10,0.0
47063,3.1500000953674316,144.59681701660156,-17.782699584960938,2.8979274535601007e-10,0.0
47073,4.5,139.7984161376953,-17.782699584960938,1.4489637267800504e-10,0.0
47082,5.699999809265137,129.89920043945312,-17.782699584960938,7.244818633900252e-11,0.0
47093,7.200000286102295,139.94961547851562,-17.782699584960938,3.622409316950126e-11,0.0
47102,8.399999618530273,129.9747772216797,-17.782699584960938,1.811204658475063e-11,0.0
47113,9.899999618530273,139.98739624023438,-17.782699584960938,9.056023292375315e-12,0.0
47123,11.09999942779541,129.99371337890625,-17.782699584960938,4.528011646187657e-12,0.0
47133,12.300000190734863,124.99685668945312,-17.782699584960938,2.2640058230938287e-12,0.0
47143,13.500000953674316,122.4984359741211,-17.782699584960938,1.1320029115469143e-12,0.0
47153,14.699999809265137,121.24919128417969,-17.782699584960938,5.660014557734572e-13,0.0
47163,15.75,113.12458038330078,-17.782699584960938,2.830007278867286e-13,0.0
47173,16.649999618530273,101.56230926513672,-17.782699584960938,1.415003639433643e-13,0.0
47182,17.55000114440918,95.78118133544922,-17.782699584960938,7.075018197168215e-14,0.0
47193,18.600000381469727,100.39058685302734,-17.782699584960938,3.5375090985841073e-14,0.0
47202,19.19999885559082,80.19527435302734,-17.782699584960938,1.7687545492920537e-14,0.0
47213,20.100000381469727,85.09765625,-17.782699584960938,8.843772746460268e-15,0.0
47223,20.700000762939453,72.54881286621094,-17.782699584960938,4.421886373230134e-15,0.0
47233,21.299999237060547,66.2743911743164,-17.782699584960938,2.210943186615067e-15,0.0
47243,21.899999618530273,63.137176513671875,-17.782699584960938,1.1054715933075335e-15,0.0
47253,22.349998474121094,54.068599700927734,-17.782699584960938,5.527357966537668e-16,0.0
47263,22.649999618530273,42.034332275390625,-17.782699584960938,2.763678983268834e-16,0.0
47273,22.950000762939453,36.0172004699707,-17.782699584960938,1.381839491634417e-16,0.0
47282,23.100000381469727,25.508575439453125,-17.782699584960938,6.909197458172085e-17,0.0
47293,23.25,20.254261016845703,-17.782699584960938,3.4545987290860423e-17,0.0
47302,23.25,10.127130508422852,-17.782699584960938,1.7272993645430212e-17,0.0
47313,23.25,5.063565254211426,-17.782699584960938,8.636496822715106e-18,0.0
47323,23.100000381469727,-4.968191623687744,-17.782699584960938,4.318248411357553e-18,0.0
47333,22.799999237060547,-17.484128952026367,-17.782699584960938,2.1591242056787765e-18,0.0
47343,22.5,-23.742013931274414,-17.782699584960938,1.0795621028393882e-18,0.0
47353,22.049999237060547,-34.37101364135742,-17.782699584960938,5.397810514196941e-19,0.0
47363,21.599998474121094,-39.685516357421875,-17.782699584960938,2.6989052570984706e-19,0.0
47373,21.150001525878906,-42.34276580810547,-17.782699584960938,1.3494526285492353e-19,0.0
47382,20.55000114440918,-51.17136764526367,-17.782699584960938,6.747263142746176e-20,0.0
47393,19.799999237060547,-63.085731506347656,-17.782699584960938,3.373631571373088e-20,0.0
