t_ms,theta_deg,theta_dot,x_cm,x_dot_cm,u,yref
9521,0.0,0.0,0.0,0.0,0.0,-0.8974370956420898
9531,0.0,0.0,0.0,0.0,0.0,-0.9047622680664062
9541,0.0,0.0,0.0,0.0,0.0,-0.8754587173461914
9551,0.0,0.0,0.0,0.0,0.0,-0.8754587173461914
9561,0.0,0.0,0.0,0.0,0.0,-0.890110969543457
9571,0.0,0.0,0.0,0.0,0.0,-0.8754587173461914
9581,0.0,0.0,0.0,0.0,0.0,-0.8974370956420898
9590,0.0,0.0,0.0,0.0,0.0,-0.9047622680664062
9600,0.0,0.0,0.0,0.0,0.0,-0.8974370956420898
9611,0.0,0.0,0.0,0.0,0.0,-0.9047622680664062
9621,0.0,0.0,0.0,0.0,0.0,-0.9047622680664062
9631,0.0,0.0,0.0,0.0,0.0,-0.8974370956420898
9641,0.0,0.0,0.0,0.0,0.0,-0.890110969543457
9651,0.0,0.0,0.0,0.0,0.0,-0.8974370956420898
9661,0.0,0.0,0.0,0.0,0.0,-0.9047622680664062
9671,0.0,0.0,0.0,0.0,0.0,-0.8974370956420898
9681,0.0,0.0,0.0,0.0,0.0,-0.8974370956420898
9690,0.0,0.0,0.0,0.0,0.0,-0.890110969543457
9700,0.0,0.0,0.0,0.0,0.0,-0.890110969543457
9711,0.0,0.0,0.0,0.0,0.0,-0.8974370956420898
9721,0.0,0.0,0.0,0.0,0.0,-0.8974370956420898
9731,0.0,0.0,0.0,0.0,0.0,-0.8974370956420898
9741,0.0,0.0,0.0,0.0,0.0,-0.8974370956420898
9751,0.0,0.0,0.0,0.0,0.0,-0.890110969543457
9761,0.0,0.0,0.0,0.0,0.0,-0.890110969543457
9771,0.0,0.0,0.0,0.0,0.0,-0.9047622680664062
9781,0.0,0.0,0.0,0.0,0.0,-0.8974370956420898
9790,0.0,0.0,0.0,0.0,0.0,-0.9194145202636719
9800,0.0,0.0,0.0,0.0,0.0,-0.8974370956420898
9811,0.0,0.0,0.0,0.0,0.0,-0.8754587173461914
9821,0.0,0.0,0.0,0.0,0.0,-0.8681325912475586
9831,0.0,0.0,0.0,0.0,0.0,-0.8974370956420898
9841,0.0,0.0,0.0,0.0,0.0,-0.8974370956420898
9851,0.0,0.0,0.0,0.0,0.0,-0.8754587173461914
9861,0.0,0.0,0.0,0.0,0.0,-0.8974370956420898
9871,0.0,0.0,0.0,0.0,0.0,-0.8974370956420898
9881,0.0,0.0,0.0,0.0,0.0,-0.9047622680664062
9890,0.0,0.0,0.0,0.0,0.0,-0.8974370956420898
9900,0.0,0.0,0.0,0.0,0.0,-0.890110969543457
9911,0.0,0.0,0.0,0.0,0.0,-0.9047622680664062
9921,0.0,0.0,0.0,0.0,0.0,-0.8754587173461914
9931,0.0,0.0,0.0,0.0,0.0,-0.890110969543457
9941,0.0,0.0,0.0,0.0,0.0,-0.8974370956420898
9951,0.0,0.0,0.0,0.0,0.0,-0.8974370956420898
9961,0.0,0.0,0.0,0.0,0.0,-0.9047622680664062
9971,0.0,0.0,0.0,0.0,0.0,-0.9047622680664062
9981,0.0,0.0,0.0,0.0,0.0,-0.890110969543457
9990,0.0,0.0,0.0,0.0,0.0,-0.9047622680664062
10000,0.0,0.0,0.0,0.0,0.0,-0.9120883941650391
10011,0.0,0.0,0.0,0.0,0.0,-0.8974370956420898
10021,0.0,0.0,0.0,0.0,0.0,-0.8754587173461914
10031,0.0,0.0,0.0,0.0,0.0,-0.890110969543457
10041,0.0,0.0,0.0,0.0,0.0,-0.8974370956420898
10051,0.0,0.0,0.0,0.0,0.0,-0.9047622680664062
10061,0.0,0.0,0.0,0.0,0.0,-0.890110969543457
10071,0.0,0.0,0.0,0.0,0.0,-0.8974370956420898
10081,0.0,0.0,0.0,0.0,0.0,-0.8754587173461914
10090,0.0,0.0,0.0,0.0,0.0,-0.890110969543457
10100,0.0,0.0,0.0,0.0,0.0,-0.8974370956420898
