56757,0.0,0.0,0.0,0.0,0.0
56767,0.0,0.0,0.0,0.0,0.0
56777,0.0,0.0,0.0,0.0,0.0
56787,0.0,0.0,0.0,0.0,0.0
56796,0.0,0.0,0.0,0.0,0.0
56807,0.0,0.0,0.0,0.0,0.0
56816,0.0,0.0,0.0,0.0,0.0
56827,0.0,0.0,0.0,0.0,0.0
56837,0.0,0.0,0.0,0.0,0.0
56847,0.0,0.0,0.0,0.0,0.0
56857,0.0,0.0,0.0,0.0,0.0
56867,0.0,0.0,0.0,0.0,0.0
56877,0.0,0.0,0.0,0.0,0.0
56887,0.0,0.0,0.0,0.0,0.0
56897,0.0,0.0,0.0,0.0,0.0
56907,0.0,0.0,0.0,0.0,0.0
56916,0.0,0.0,0.0,0.0,0.0
56927,0.0,0.0,0.0,0.0,0.0
56937,0.0,0.0,0.0,0.0,0.0
56947,0.0,0.0,0.0,0.0,0.0
56957,0.0,0.0,0.0,0.0,0.0
56967,0.0,0.0,0.0,0.0,0.0
56977,0.0,0.0,0.0,0.0,0.0
56987,0.0,0.0,0.0,0.0,0.0
56997,0.0,0.0,0.0,0.0,0.0
57007,0.0,0.0,0.0,0.0,0.0
57016,0.0,0.0,0.0,0.0,0.0
57027,0.0,0.0,0.0,0.0,0.0
57037,0.0,0.0,0.0,0.0,0.0
57047,0.0,0.0,0.0,0.0,0.0
57057,0.0,0.0,0.0,0.0,0.0
57067,0.0,0.0,0.0,0.0,0.0
57077,0.0,0.0,0.0,0.0,0.0
57087,0.0,0.0,0.0,0.0,0.0
57097,0.0,0.0,0.0,0.0,0.0
57107,0.0,0.0,0.0,0.0,0.0
57116,0.0,0.0,0.0,0.0,0.0
57127,0.0,0.0,0.0,0.0,0.0
57137,0.0,0.0,0.0,0.0,0.0
57147,0.0,0.0,0.0,0.0,0.0
57157,0.0,0.0,0.0,0.0,0.0
57167,0.0,0.0,0.0,0.0,0.0
57177,0.0,0.0,0.0,0.0,0.0
57187,0.0,0.0,0.0,0.0,0.0
