t_ms,theta_deg,theta_dot,x_cm,x_dot_cm,u
10286,0.0,0.0,0.0,0.0,0.0
10295,0.0,0.0,0.0,0.0,0.0
10306,0.0,0.0,0.0,0.0,0.0
10315,0.0,0.0,0.0,0.0,0.0
10326,0.0,0.0,0.0,0.0,0.0
10336,0.0,0.0,0.0,0.0,0.0
10346,0.0,0.0,0.0,0.0,0.0
10356,0.0,0.0,0.0,0.0,0.0
10366,0.0,0.0,0.0,0.0,0.0
10376,0.0,0.0,0.0,0.0,0.0
10386,0.0,0.0,0.0,0.0,0.0
10395,0.0,0.0,0.0,0.0,0.0
10406,0.0,0.0,0.0,0.0,0.0
10415,0.0,0.0,0.0,0.0,0.0
10426,0.0,0.0,0.0,0.0,0.0
10436,0.0,0.0,0.0,0.0,0.0
10446,0.0,0.0,0.0,0.0,0.0
10456,0.0,0.0,0.0,0.0,0.0
10466,0.0,0.0,0.0,0.0,0.0
10476,0.0,0.0,0.0,0.0,0.0
10486,0.0,0.0,0.0,0.0,0.0
10495,0.0,0.0,0.0,0.0,0.0
10506,0.0,0.0,0.0,0.0,0.0
10515,0.0,0.0,0.0,0.0,0.0
10526,0.0,0.0,0.0,0.0,0.0
10536,0.0,0.0,0.0,0.0,0.0
10546,0.0,0.0,0.0,0.0,0.0
10556,0.0,0.0,0.0,0.0,0.0
10566,0.0,0.0,0.0,0.0,0.0
10576,0.0,0.0,0.0,0.0,0.0
10586,0.0,0.0,0.0,0.0,0.0
10595,0.0,0.0,0.0,0.0,0.0
10606,0.0,0.0,0.0,0.0,0.0
10615,0.0,0.0,0.0,0.0,0.0
10626,0.0,0.0,0.0,0.0,0.0
10636,0.0,0.0,0.0,0.0,0.0
10646,0.0,0.0,0.0,0.0,0.0
10656,0.0,0.0,0.0,0.0,0.0
10666,0.0,0.0,0.0,0.0,0.0
10676,0.0,0.0,0.0,0.0,0.0
10686,0.0,0.0,0.0,0.0,0.0
10695,0.0,0.0,0.0,0.0,0.0
10706,0.0,0.0,0.0,0.0,0.0
10715,0.0,0.0,0.0,0.0,0.0
10726,0.0,0.0,0.0,0.0,0.0
10736,0.0,0.0,0.0,0.0,0.0
10746,0.0,0.0,0.0,0.0,0.0
10756,0.0,0.0,0.0,0.0,0.0
10766,0.0,0.0,0.0,0.0,0.0
10776,0.0,0.0,0.0,0.0,0.0
10786,0.0,0.0,0.0,0.0,0.0
10795,0.0,0.0,0.0,0.0,0.0
10806,0.0,0.0,0.0,0.0,0.0
10826,0.0,0.0,-0.006879188120365143,-0.34395939111709595,0.0
10838,0.0,0.0,-0.048154316842556,-2.235736131668091,-0.11089541018009186
10850,0.14999999105930328,7.5,-0.10318781435489655,-3.8695433139801025,-0.7208201289176941
10862,0.29999998211860657,11.25,-0.17197969555854797,-5.37436580657959,-12.0
10874,0.5999999642372131,20.625,-0.2545299530029297,-6.814695358276367,-12.0
10875,0.5999999642372131,10.3125,-0.2682883143424988,-4.095266819000244,-12.0
10876,0.5999999642372131,5.15625,-0.2751675248146057,-2.3915929794311523,-12.0
10886,0.75,10.078125953674316,-0.37835532426834106,-6.35518741607666,-12.0
10896,1.0499999523162842,20.039060592651367,-0.5228182673454285,-10.400740623474121,-12.0
10906,1.5,32.519535064697266,-0.7154355049133301,-14.831233024597168,-12.0
10915,1.9500000476837158,38.759765625,-0.9218111634254456,-17.734399795532227,-12.0
10926,2.549999713897705,49.37987518310547,-1.2176162004470825,-23.657455444335938,-12.0
10936,3.1500000953674316,54.68994140625,-1.5065420866012573,-26.275020599365234,-12.0
10946,3.75,57.344974517822266,-1.8367432355880737,-29.647563934326172,-12.0
10956,4.650000095367432,73.6724853515625,-2.1807026863098145,-32.02175521850586,-12.0
10966,5.250000476837158,66.83624267578125,-2.5521786212921143,-34.58468246459961,-12.0
10976,6.0,70.91812896728516,-2.937413215637207,-36.55406951904297,-12.0
10986,6.750000476837158,72.95906829833984,-3.3364062309265137,-38.226680755615234,-12.0
10995,7.5,73.97954559326172,-3.701003313064575,-37.343196868896484,-12.0
11006,8.25,74.4897689819336,-4.168787956237793,-42.06083297729492,-12.0
11015,9.0,74.74488830566406,-4.560901641845703,-40.6360969543457,-12.0
11026,9.75,74.87245178222656,-5.042444705963135,-44.39519500732422,-12.0
11036,10.500000953674316,74.93623352050781,-5.4895920753479,-44.55496597290039,-12.0
11046,11.25,74.9681167602539,-5.950497627258301,-45.3227653503418,-12.0
11056,11.850000381469727,67.48404693603516,-6.411403656005859,-45.70668029785156,-12.0
11066,12.449999809265137,63.742000579833984,-6.87230920791626,-45.89862060546875,-12.0
11076,13.050000190734863,61.871028900146484,-7.340093612670898,-46.33854675292969,-12.0
11086,13.649999618530273,60.93549728393555,-7.814757347106934,-46.9024658203125,-12.0
11095,14.09999942779541,52.96775817871094,-8.241267204284668,-44.776695251464844,-12.0
11106,14.550000190734863,48.983890533447266,-8.764084815979004,-48.52927017211914,-12.0
11115,15.0,46.9919548034668,-9.190595626831055,-45.59013366699219,-12.0
11126,15.299999237060547,38.49592590332031,-9.720293045043945,-49.27994155883789,-12.0
11136,15.600000381469727,34.24799728393555,-10.19495677947998,-48.37316131591797,-12.0
11146,15.90000057220459,32.12403106689453,-10.683378219604492,-48.60768127441406,-12.0
11156,16.049999237060547,23.56199073791504,-11.164922714233398,-48.38102340698242,-12.0
11166,16.19999885559082,19.280969619750977,-11.646465301513672,-48.26765823364258,-12.0
11176,16.349998474121094,17.140459060668945,-12.1348876953125,-48.554931640625,-12.0
11186,16.19999885559082,1.0702548027038574,-12.623310089111328,-48.6986083984375,-12.0
11196,16.19999885559082,0.5351274013519287,-13.11173152923584,-48.77036666870117,-12.0
11206,16.19999885559082,0.26756370067596436,-13.600153923034668,-48.80632400512695,-12.0
11215,16.049999237060547,-7.366192817687988,-14.040422439575195,-46.41657638549805,-12.0
11226,15.75,-18.683130264282227,-14.57699966430664,-50.03715896606445,12.0
11236,15.450000762939453,-24.341514587402344,-15.017266273498535,-47.03191375732422,12.0
11246,14.84999942779541,-42.17082214355469,-15.381863594055176,-41.74581527709961,12.0
11256,13.949999809265137,-66.08538055419922,-15.67078971862793,-35.319210052490234,12.0
11266,13.050000190734863,-78.04267120361328,-15.890924453735352,-28.66634750366211,12.0
11276,11.850000381469727,-99.0213394165039,-16.049144744873047,-22.244199752807617,12.0
11286,10.350000381469727,-124.51066589355469,-16.14545440673828,-15.937559127807617,12.0
11296,8.850000381469727,-137.25534057617188,-16.17984962463379,-9.688522338867188,12.0
11306,7.200000286102295,-151.1276397705078,-16.159212112426758,-3.8124303817749023,12.0
11315,5.399999618530273,-165.5638427734375,-16.09041976928711,1.5334198474884033,12.0
11326,3.299999713897705,-187.78192138671875,-15.952836036682129,7.6459059715271,12.0
11336,1.1999999284744263,-198.8909454345703,-15.787735939025879,12.077972412109375,12.0
11346,359.10003662109375,-204.4454803466797,-15.574481964111328,16.70166015625,12.0
11356,356.8500061035156,-214.72279357910156,-15.333708763122559,20.38947868347168,12.0
11366,354.4499816894531,-227.3623504638672,-15.05166244506836,24.29705047607422,12.0
11376,352.04998779296875,-233.68075561523438,-14.74209976196289,27.626657485961914,12.0
11386,349.6499938964844,-236.83998107910156,-14.411897659301758,30.323442459106445,12.0
11396,347.2499694824219,-238.4209442138672,-14.054181098937988,33.04758834838867,12.0
11406,344.8499755859375,-239.21005249023438,-13.68270492553711,35.09756851196289,12.0
11415,342.5999755859375,-232.10507202148438,-13.324986457824707,35.434722900390625,12.0
11426,340.04998779296875,-243.55166625976562,-12.88471794128418,39.73077392578125,12.0
11436,337.6500244140625,-241.7767791748047,-12.465088844299316,40.84685516357422,12.0
11446,335.5500183105469,-225.8875274658203,-12.031700134277344,42.0928840637207,12.0
11456,333.3000183105469,-225.44381713867188,-11.598310470581055,42.71589660644531,12.0
11466,331.20001220703125,-217.722412109375,-11.151163101196289,43.71531677246094,12.0
11476,329.25,-206.36077880859375,-10.697136878967285,44.558982849121094,12.0
11486,327.4499816894531,-193.18043518066406,-10.243110656738281,44.980777740478516,12.0
11496,325.6500244140625,-186.59024047851562,-9.782205581665039,45.535667419433594,12.0
11506,324.0,-175.7956085205078,-9.32129955291748,45.813114166259766,12.0
11515,322.5,-162.8973846435547,-8.9016695022583,43.888099670410156,12.0
11526,321.0000305175781,-156.44827270507812,-8.385729789733887,47.74101257324219,12.0
11536,319.6500244140625,-145.7241668701172,-7.91794490814209,47.259742736816406,12.0
11546,318.45001220703125,-132.86256408691406,-7.443281173706055,47.363059997558594,12.0
11556,317.4000244140625,-118.93083953857422,-6.9686174392700195,47.41471862792969,12.0
11566,316.5,-104.46543884277344,-6.487074375152588,47.784507751464844,12.0
11576,315.75,-89.73320007324219,-6.005531311035156,47.969417572021484,12.0
11586,315.1499938964844,-74.86615753173828,-5.523987770080566,48.0618782043457,12.0
11596,314.70001220703125,-59.93308639526367,-5.042444705963135,48.10810852050781,12.0
11606,314.54998779296875,-37.46745681762695,-4.554022312164307,48.47515869140625,12.0
11615,314.3999938964844,-26.2332763671875,-4.120633602142334,45.90703201293945,12.0
11626,314.3999938964844,-13.11663818359375,-3.5909361839294434,49.43837356567383,12.0
11636,314.54998779296875,0.9412286877632141,-3.1093928813934326,48.796356201171875,12.0
11646,315.0,22.97062110900879,-2.6209707260131836,48.81929016113281,-12.0
11656,315.4499816894531,33.985321044921875,-2.1807026863098145,46.42304611206055,-12.0
11666,316.1999816894531,54.49312973022461,-1.816105604171753,41.44137191772461,-12.0
11676,317.25,79.74613189697266,-1.5134212970733643,35.85490036010742,-12.0
11686,318.5999755859375,107.37309265136719,-1.2864080667495728,29.27811050415039,-12.0
11695,319.9499816894531,121.18656921386719,-1.1350659132003784,22.20616340637207,-12.0
11706,321.8999938964844,158.09423828125,-1.0249990224838257,16.606430053710938,-12.0
11715,323.8500061035156,176.5467071533203,-0.9906030297279358,10.0230131149292,-12.0
11726,326.25,208.27294921875,-1.0112406015396118,3.9796292781829834,-12.0
11736,328.8000183105469,231.63697814941406,-1.093790888786316,-2.137700080871582,-12.0
11746,331.6499938964844,258.3180847167969,-1.2244954109191895,-7.6040802001953125,-12.0
11756,334.4999694824219,271.65863037109375,-1.3964751958847046,-12.401025772094727,-12.0
11766,337.6500244140625,293.3293762207031,-1.6166090965270996,-17.207210540771484,-12.0
